NO_OF_SAMPLES	24000
FREQUENCY	1200
TIME_STAMP	2020-01-28, 14:27:43.885	5208.83582520
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11053M
FORCE_PLATE_CORNER_POSX_POSY_X	353.011101
FORCE_PLATE_CORNER_POSX_POSY_Y	1295.030594
FORCE_PLATE_CORNER_POSX_POSY_Z	-2.601500
FORCE_PLATE_CORNER_NEGX_POSY_X	747.085989
FORCE_PLATE_CORNER_NEGX_POSY_Y	1294.596434
FORCE_PLATE_CORNER_NEGX_POSY_Z	-2.692300
FORCE_PLATE_CORNER_NEGX_NEGY_X	746.431708
FORCE_PLATE_CORNER_NEGX_NEGY_Y	700.785577
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-2.136100
FORCE_PLATE_CORNER_POSX_NEGY_X	352.357000
FORCE_PLATE_CORNER_POSX_NEGY_Y	701.219738
FORCE_PLATE_CORNER_POSX_NEGY_Z	-2.045300
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
65	0.05333	-3.506714	-4.745361	-14.076660	-2.577393	-2.221802	-1.580383	-157.835860	183.096882	0.000000	
66	0.05417	-3.325073	-4.206299	-13.357422	-2.596680	-2.215820	-1.543213	-165.886826	194.399766	0.000000	
67	0.05500	-3.413208	-4.205322	-14.807617	-2.465210	-2.113281	-1.487122	-142.715821	166.482556	0.000000	
68	0.05583	-3.411987	-4.025391	-14.809082	-2.692993	-2.183350	-1.598877	-147.433150	181.847407	0.000000	
69	0.05667	-3.596802	-4.564941	-12.263184	-2.582886	-2.156128	-1.468933	-175.821222	210.621143	0.000000	
70	0.05750	-3.679932	-3.753662	-13.719727	-2.525269	-2.229004	-1.543152	-162.467080	184.061143	0.000000	
71	0.05833	-3.416992	-4.476318	-12.628418	-2.586304	-2.114380	-1.543396	-167.430306	204.800294	0.000000	
72	0.05917	-3.325684	-4.386230	-13.718750	-2.678711	-2.250610	-1.543152	-164.053602	195.259112	0.000000	
73	0.06000	-3.687134	-4.744385	-12.623535	-2.266846	-2.194092	-1.543396	-173.809616	179.572970	0.000000	
74	0.06083	-3.234497	-3.937012	-12.634277	-2.650269	-2.177856	-1.506165	-172.376812	209.768116	0.000000	
75	0.06167	-3.056274	-4.118164	-12.997559	-2.776733	-2.100952	-1.561951	-161.642060	213.634998	0.000000	
76	0.06250	-3.687012	-4.564697	-11.536621	-2.228638	-2.229736	-1.580872	-193.274643	193.179413	0.000000	
